camp,mean1,mean2,pct1,pct2,log2fc,p,p_adj,status
CAMPSQ6038,2.43709448173912,0.9397113673874876,0.92,0.3709677419354839,0.8253475175557499,3.651196685381228e-5,4.658423357210532e-4,unchange
CAMPSQ6039,2.632923061129908,3.093511131241495,1,0.9193548387096774,-0.17220800601987962,0.23537338299582972,0.3462635970547512,unchange
CAMPSQ604,0,0.02345358769530975,0,0.01612903225806451,-0.03344567947901993,0.5421264077162994,0.6438693693185238,unchange
CAMPSQ6040,2.052371716855067,1.435214956743632,0.88,0.5483870967741935,0.3258815390045898,0.04639327486176783,0.1010925306175153,unchange
CAMPSQ6041,6.18052960401547,10.743824274267292,1,0.9838709677419356,-0.7097401261817644,8.336535486684774e-8,5.257650610733414e-6,unchange
CAMPSQ6042,2.8608932682628527,2.7672505464523693,0.92,0.7903225806451613,0.03542268752086316,0.5255957923116042,0.6406928723487016,unchange
CAMPSQ6043,0.7796794393873636,0.8528949403758275,0.56,0.3225806451612903,-0.05816367999138092,0.3292943213951154,0.453529451477393,unchange
CAMPSQ6044,3.709994560133019,3.787455488645544,0.96,0.7903225806451613,-0.02353368006632619,0.8361810041924245,0.8943161732943159,unchange
CAMPSQ6045,7.849884067781638,7.158653700545923,1,0.9838709677419356,0.1173274505665494,0.1481316847325638,0.23765884834361267,unchange
CAMPSQ6046,1.0826284024905632,0.8228793573575758,0.76,0.3709677419354839,0.19218636290758676,0.07958051789370237,0.1563440263044418,unchange
CAMPSQ6047,0.26202068201310563,0.14909349874279362,0.24,0.08064516129032258,0.13523936232623407,0.07662278213605776,0.15176889395257695,unchange
CAMPSQ6048,4.270869060733652,5.760395015098755,1,0.9516129032258064,-0.3590666937650171,0.00828081845020804,0.02686063261172099,unchange
CAMPSQ6051,6.100602879906242,5.83769649567736,1,0.9838709677419356,0.05443113509853589,0.3021086503470289,0.4217082982138226,unchange
CAMPSQ6052,3.1214318916483887,3.11481925019759,0.96,0.8225806451612904,0.00231659450732645,0.7423718937737978,0.8174206503972451,unchange
CAMPSQ6053,1.220119693689623,1.1988980127669395,0.72,0.4838709677419355,0.01385676692338503,0.571816811268393,0.6700373537714165,unchange
CAMPSQ6054,6.15156565763012,8.289106003472686,1,1,-0.37728063759804736,0.00200087887067894,0.00922332037563799,unchange
CAMPSQ6055,1.1396678456549951,1.16903570037477,0.76,0.4032258064516129,-0.01966694345133117,0.33441977612104784,0.459185986509603,unchange
CAMPSQ6056,4.862607369791198,4.434393751244279,1,0.9193548387096774,0.10942333946689373,0.4672358930626079,0.5894699926480464,unchange
CAMPSQ6058,2.8691473026912035,2.278283367152226,1,0.6290322580645161,0.23907509179819375,0.0947260739724563,0.17958253260440118,unchange
CAMPSQ6059,1.8664405218915312,1.84904093831157,0.92,0.6935483870967742,0.00878399157321049,0.7020408971984412,0.7827093168845619,unchange
CAMPSQ6060,0.4654762327809401,0.4034876134148874,0.48,0.1935483870967742,0.06235323917202557,0.0657779373484466,0.13426750441100513,unchange
