clade_name,mean.all,mean.1,mean.2,pct.all,pct.1,pct.2,diff,log2fc,pval,p.adj,status
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_kristinae,3.873563218390805e-5,1.348e-4,0,0.022988505747126436,0.08,0,1.348e-4,7.08533966935737,0.026286552271558142,0.048830035611243924,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria,4.660919540229885e-4,0.001622,0,0.04597701149425287,0.16,0,0.001622,10.664447284547972,0.0014129816695561616,0.004035081981717596,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa,0.001380574712643678,0.0048044,0,0.12643678160919541,0.44,0,0.0048044,12.230440810145565,3.1808694285681825e-8,3.2603911642823873e-7,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,0.00780816091954023,0.0174388,0.003924838709677419,0.4827586206896552,0.84,0.3387096774193548,0.013513961290322582,2.151310688329002,5.845501145460156e-6,3.4153857196103266e-5,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acidifaciens,5.173563218390804e-4,0.0015772,8.999999999999999e-5,0.11494252873563218,0.36,0.016129032258064516,0.0014872,4.116269689310716,6.911187502418788e-6,3.9277441845429544e-5,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium|s__Pseudopropionibacterium_propionicum,3.080459770114942e-5,1.072e-4,0,0.04597701149425287,0.16,0,1.072e-4,6.757556688939453,0.0014129816695561616,0.004035081981717596,unchange
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_deltae,2.0379310344827587e-4,7.092e-4,0,0.06896551724137931,0.24,0,7.092e-4,9.472081550133609,7.470753396691767e-5,3.130082080073777e-4,unchange
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_minutum,7.126436781609196e-6,2.48e-5,0,0.011494252873563218,0.04,0,2.48e-5,4.689299160535892,0.12128522155214527,0.16303915028321167,unchange
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum,0.002851724137931034,0.009923999999999999,0,0.16091954022988506,0.56,0,0.009923999999999999,13.276851386917683,2.0742991938340203e-10,3.6080234462446294e-9,unchange
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae,0.0019754022988505747,0.0068744,0,0.13793103448275862,0.48,0,0.0068744,12.74722793436555,6.151015160166826e-9,7.675397178121214e-8,unchange
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_profusa,5.297701149425287e-4,0.0018436,0,0.11494252873563218,0.4,0,0.0018436,10.84909228762457,1.5921388635549356e-7,1.3439525112949015e-6,unchange
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes,0.04728632183908046,0.1443996,0.00812774193548387,0.28735632183908044,0.8,0.08064516129032258,0.1362718580645161,4.150900839195042,9.506913988032692e-10,1.3992227254181449e-8,unchange
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_uli,0.001511264367816092,0.0052592,0,0.08045977011494253,0.28,0,0.0052592,12.360901938461563,1.669447099494415e-5,8.190278932562345e-5,unchange
